SMILES,matched_by,matched_query,pubchem_cid,MW,nHBAcc,ALogP,FMF,HybRatio,nAcid,S1,S2,S3,S4,S5,S6
C[N+](C)(C)CC(=O)[O-],Name,Betaine,247,117.1465408,2,-2.043,0,0.8,1,145924932.8,286184205.5,234444824.3,169446776.4,221482220.9,548351423.6
C[N+]1(CCCC1C(=O)O)C,Name,DL-Stachydrine,555,144.1918349,2,-0.8755,0.208333333,0.857142857,1,86093949.84,120064701.9,58475392.82,88289184.84,73048370.67,124768763.5
C[N+](C)(C)CCO,Name,Choline,305,104.1709582,1,-1.5741,0,1,0,1172088413,3197765887,1914497624,855902393.2,1031288816,1105775626
C(CCN)CC(=O)O,Name,5-Aminovaleric acid,138,117.1465408,3,-0.1659,0,0.8,1,411529143.2,582622546.2,676466977.8,342227425.4,932492131.7,820551678.5
C1CC(NC1)C(=O)O,Name,D-(+)-Proline,8988,115.1306593,3,-0.0566,0.294117647,0.8,1,259807388.3,433729178.5,521782984.7,266901938.8,630607482.1,575022594.3
C1CC(=O)NC1C(=O)O,Name,L-Pyroglutamic acid,7405,129.1141828,4,-0.6726,0.3125,0.6,1,448239564,1005637092,729745259.5,365657408.5,1484148575,1021541352
CN(CC(=O)O)C(=N)N,Name,Creatine,586,131.1333298,5,-0.9062,0,0.5,1,233387681.1,55061368.29,36940895.51,45193064.05,48333265.51,50144501.79
CC1CC(=O)C=C2C1(CC(CC2)C(=C)C)C,Name,Nootkatone,1268142,218.33514,1,3.6119,0.263157895,0.666666667,0,79169499.9,82700341.95,30539679.37,93280518.47,95656423.89,105355400.5
C1=CC(=CN=C1)C(=O)O,Name,Nicotinic acid,938,123.1096322,3,0.2838,0.428571429,0,1,218331434.9,449184145.7,357929240.3,372121048.7,338839842.4,342270709.8
C(CC(C(=O)O)N)CN=C(N)N,Name,DL-Arginine,232,174.2012086,6,-1.27,0,0.666666667,1,71437510.36,25810597.21,54887950.37,16081810.92,37734507.93,115329750.7
,,,,,,,,,,79659177.5,82899962.08,99720457.36,79455456.57,97734518.78,109365550.8
C(CC(=O)O)CN=C(N)N,Name,4-Guanidinobutyric acid,500,145.1599473,5,-0.7561,0,0.6,1,30960611.33,102866217,78732123.87,13787601.37,15107362.66,17167646.11
CC12C=CC3=C(C1CCC45C2CCC(C4)C(C5)(CO)O)C=CO3,Name,Kahweol,114778,314.4193923,2,2.8226,0.387755102,0.7,0,225268087.8,56915416.89,33261774.44,69278541.16,43017609.34,37684291.76
C1=CC=C(C(=C1)C=CC(=O)O)O,Name,2-Hydroxycinnamic acid,637540,164.1583639,3,1.6348,0.3,0,1,216924938.4,483199791.5,328323958.1,181460654,762516544.4,454046415.2
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,Name,Isotretinoin,5282379,300.4358689,2,5.5256,0.12,0.45,1,689799950.4,25007422.94,14695021.64,170238129.1,124619789.2,100400179.9
CC12CCC3=C(C1CCC45C2CCC(C4)C(C5)(CO)O)C=CO3,Name,Cafestol,108052,316.4352738,2,2.8458,0.37254902,0.8,0,541243013.5,27535990.83,16628572.38,65135649.93,45482111.54,39238849.96
C1CCNC(C1)C(=O)O,Name,Pipecolic acid,849,129.1572767,3,0.3996,0.3,0.833333333,1,349595346.3,447693622.9,445130920.3,348486626.9,559862708.8,604177584.9
CN1CCCC1C2=CN=CC=C2,Name,(S)-Nicotine,89594,162.2319359,2,1.2427,0.423076923,0.5,0,22657781.88,78381016.63,204273316.2,189520437.6,997282001.3,1995434656
COC1=CC=C(C=C1)C=O,Name,4-Methoxybenzaldehyde,31244,136.1482231,1,1.573,0.333333333,0.125,0,33775510.95,81920030.96,34356623.34,51920117.92,43429421.02,44676389.07
C1=CNC(=O)NC1=O,Name,Uracil,1174,112.0869229,2,0.7667,0.5,0,0,120353279.2,173358813.7,178651350,164302109.7,155497304.5,176333972.5
C1=CC(=CN=C1)C(=O)N,Name,Nicotinamide,936,122.1248712,3,-0.3184,0.4,0,0,115405980.9,145331665.9,173813592.8,158998155.2,184256345.6,200615560.6
C[N+](C)(C)CC(CC(=O)[O-])O,Name,DL-Carnitine,288,161.1991806,3,-2.5189,0,0.857142857,1,30824023.26,16667110.34,9260316.728,14384908.6,12428222.41,12676677.69
C1C(=O)NCC(=O)N1,Name,Glycine anhydride,7817,114.1028044,4,-1.4536,0.428571429,0.5,0,22365643.83,28984020.25,28371520.72,27236515.22,30529795.93,32441530.83
