EC_Number,Taxonomy
1.1.1.1,k__Bacteria;p__Acidobacteria;c__unclassified_Acidobacteria;o__unclassified_Acidobacteria;f__unclassified_Acidobacteria;g__unclassified_Acidobacteria;s__unclassified_Acidobacteria
1.1.1.2,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;s__unclassified_Bradyrhizobium
1.1.1.3,k__Bacteria;p__Nitrospirae;c__unclassified_Nitrospirae;o__unclassified_Nitrospirae;f__unclassified_Nitrospirae;g__unclassified_Nitrospirae;s__unclassified_Nitrospirae
1.1.1.4,k__Bacteria;p__Candidatus_Rokubacteria;c__unclassified_Candidatus_Rokubacteria;o__unclassified_Candidatus_Rokubacteria;f__unclassified_Candidatus_Rokubacteria;g__unclassified_Candidatus_Rokubacteria;s__unclassified_Candidatus_Rokubacteria
1.1.1.-,k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__Urbifossiella;s__Urbifossiella_limnaea
1.1.1.303,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;s__Bradyrhizobium_sp._NAS80.1
1.1.1.6,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__unclassified_Deltaproteobacteria;f__unclassified_Deltaproteobacteria;g__unclassified_Deltaproteobacteria;s__Deltaproteobacteria_bacterium
1.1.1.11,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Afipia;s__Afipia_felis
1.1.1.14,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae;g__unclassified_Polyangiaceae;s__Polyangiaceae_bacterium_UTPRO1
1.1.1.17,k__Bacteria;p__Chloroflexi;c__unclassified_Chloroflexi;o__unclassified_Chloroflexi;f__unclassified_Chloroflexi;g__unclassified_Chloroflexi;s__Chloroflexi_bacterium
1.1.1.18,k__Bacteria;p__Gemmatimonadetes;c__unclassified_Gemmatimonadetes;o__unclassified_Gemmatimonadetes;f__unclassified_Gemmatimonadetes;g__unclassified_Gemmatimonadetes;s__Gemmatimonadetes_bacterium
1.1.1.369,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;s__Bradyrhizobium_lablabi
1.1.1.21,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Rhodopseudomonas;s__Rhodopseudomonas_sp._B29
1.1.1.22,k__Bacteria;p__Verrucomicrobia;c__unclassified_Verrucomicrobia;o__unclassified_Verrucomicrobia;f__unclassified_Verrucomicrobia;g__unclassified_Verrucomicrobia;s__Verrucomicrobia_bacterium_RIFCSPLOWO2_12_FULL_64_8
1.1.1.23,k__Bacteria;p__Chloroflexi;c__Caldilineae;o__Caldilineales;f__Caldilineaceae;g__Litorilinea;s__Litorilinea_aerophila
1.1.1.25,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Myxococcaceae;g__unclassified_Myxococcaceae;s__Myxococcaceae_bacterium
1.1.1.26,k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__Fimbriiglobus;s__Fimbriiglobus_ruber
1.1.1.27,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;s__Bradyrhizobium_genosp._L
1.1.1.29,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Blastochloris;s__unclassified_Blastochloris
1.1.1.30,k__Bacteria;p__Acidobacteria;c__unclassified_Acidobacteria;o__unclassified_Acidobacteria;f__unclassified_Acidobacteria;g__unclassified_Acidobacteria;s__Acidobacteria_bacterium
1.1.1.31,k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__unclassified_Acidobacteriia;f__unclassified_Acidobacteriia;g__unclassified_Acidobacteriia;s__Acidobacteriia_bacterium_AA117
