EC_Number,Taxonomy,Genus,Species,Microbe,Reaction_ID,Reaction_Name,Definition,Equation,Reactants,Products,Reactants_With_Formula,Products_With_Formula,hit,matched_exudates,matched_side,matched_compounds_in_rxn
1.1.1.1,k__Bacteria;p__Acidobacteria;c__unclassified_Acidobacteria;o__unclassified_Acidobacteria;f__unclassified_Acidobacteria;g__unclassified_Acidobacteria;s__unclassified_Acidobacteria,unclassified Acidobacteria,unclassified Acidobacteria,unclassified Acidobacteria,R02124,retinol:NAD+ oxidoreductase,Retinol + NAD+ <=> Retinal + NADH + H+,C00473 + C00003 <=> C00376 + C00004 + C00080,C00473; C00003,C00376; C00004; C00080,C00473; C00003 [C20H30O | Retinol; all-trans-Retinol; Vitamin A; Vitamin A1],C00376; C00004; C00080 [C20H28O | Retinal; Vitamin A aldehyde; Retinene; all-trans-Retinal; all-trans-Vitamin A aldehyde; all-trans-Retinene],TRUE,Vitamin A; All trans retinal,Reactant; Product,Vitamin A; all-trans-Retinal
1.1.1.1,k__Bacteria;p__Acidobacteria;c__unclassified_Acidobacteria;o__unclassified_Acidobacteria;f__unclassified_Acidobacteria;g__unclassified_Acidobacteria;s__unclassified_Acidobacteria,unclassified Acidobacteria,unclassified Acidobacteria,unclassified Acidobacteria,R02246,(R)-mevalonate:NAD+ oxidoreductase,(R)-Mevalonate + NAD+ <=> Mevaldate + NADH + H+,C00418 + C00003 <=> C00772 + C00004 + C00080,C00418; C00003,C00772; C00004; C00080,"C00418; C00003 [C6H12O4 | (R)-Mevalonate; Mevalonic acid; 3,5-Dihydroxy-3-methylvaleric acid; (3R)-3,5-Dihydroxy-3-methylpentanoic acid; (R)-Mevalonic acid]",C00772; C00004; C00080 [C6H10O4 | Mevaldate; Mevaldic acid],TRUE,Mevalonic acid,Reactant,Mevalonic acid
1.1.1.1,k__Bacteria;p__Acidobacteria;c__unclassified_Acidobacteria;o__unclassified_Acidobacteria;f__unclassified_Acidobacteria;g__unclassified_Acidobacteria;s__unclassified_Acidobacteria,unclassified Acidobacteria,unclassified Acidobacteria,unclassified Acidobacteria,R08557,,Choline + NAD+ <=> Betaine aldehyde + NADH + H+,C00114 + C00003 <=> C00576 + C00004 + C00080,C00114; C00003,C00576; C00004; C00080,C00114; C00003 [C5H14NO | Choline; Bilineurine],C00576; C00004; C00080 [C5H12NO | Betaine aldehyde],TRUE,Choline,Reactant,Choline
1.1.1.1,k__Bacteria;p__Acidobacteria;c__unclassified_Acidobacteria;o__unclassified_Acidobacteria;f__unclassified_Acidobacteria;g__unclassified_Acidobacteria;s__unclassified_Acidobacteria,unclassified Acidobacteria,unclassified Acidobacteria,unclassified Acidobacteria,R08558,,Choline + NADP+ <=> Betaine aldehyde + NADPH + H+,C00114 + C00006 <=> C00576 + C00005 + C00080,C00114; C00006,C00576; C00005; C00080,C00114; C00006 [C5H14NO | Choline; Bilineurine],C00576; C00005; C00080 [C5H12NO | Betaine aldehyde],TRUE,Choline,Reactant,Choline
1.1.1.103,k__Bacteria;p__Chloroflexi;c__unclassified_Chloroflexi;o__unclassified_Chloroflexi;f__unclassified_Chloroflexi;g__unclassified_Chloroflexi;s__unclassified_Chloroflexi,unclassified Chloroflexi,unclassified Chloroflexi,unclassified Chloroflexi,R01465,L-threonine:NAD+ oxidoreductase,L-Threonine + NAD+ <=> L-2-Amino-3-oxobutanoic acid + NADH + H+,C00188 + C00003 <=> C03508 + C00004 + C00080,C00188; C00003,C03508; C00004; C00080,C00188; C00003 [C4H9NO3 | L-Threonine; 2-Amino-3-hydroxybutyric acid],C03508; C00004; C00080 [C4H7NO3 | L-2-Amino-3-oxobutanoic acid; L-2-Amino-3-oxobutanoate; L-2-Amino-acetoacetate; (S)-2-Amino-3-oxobutanoic acid],TRUE,L-Threonine,Reactant,L-Threonine
1.1.1.145,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus_taiwanensis,Methanoculleus,Methanoculleus taiwanensis,Methanoculleus taiwanensis,R01837,3beta-hydroxyandrost-5-en-17-one:NAD+ 3-oxidoreductase/delta5-delta-4 isomerase,Dehydroepiandrosterone + NAD+ <=> Androstenedione + NADH + H+,C01227 + C00003 <=> C00280 + C00004 + C00080,C01227; C00003,C00280; C00004; C00080,C01227; C00003 [C19H28O2 | Dehydroepiandrosterone; 3beta-Hydroxyandrost-5-en-17-one; Dehydroisoandrosterone; DHA; DHEA],"C00280; C00004; C00080 [C19H26O2 | Androstenedione; Androst-4-ene-3,17-dione; 4-Androstene-3,17-dione]",TRUE,Androstenedione,Product,Androstenedione
1.1.1.145,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus_taiwanensis,Methanoculleus,Methanoculleus taiwanensis,Methanoculleus taiwanensis,R02499,"testosterone delta5-delat4-isomerase; androst-5-ene-3beta,17beta-diol:NAD+ 3-oxidoreductase",Testosterone + H+ + NADH <=> Androstenediol + NAD+,C00535 + C00080 + C00004 <=> C04295 + C00003,C00535; C00080; C00004,C04295; C00003,C00535; C00080; C00004 [C19H28O2 | Testosterone; 17beta-Hydroxy-4-androsten-3-one],"C04295; C00003 [C19H30O2 | Androstenediol; Androst-5-ene-3beta,17beta-diol; 3beta,17beta-Dihydroxyandrost-5-ene; 3beta,17beta-Dihydroxy-5-androstene]",TRUE,Testosterone,Reactant,Testosterone
1.1.1.145,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus_taiwanensis,Methanoculleus,Methanoculleus taiwanensis,Methanoculleus taiwanensis,R02840,"cortisol delta5-delat4-isomerase; 11beta,17alpha,21-trihydroxypregnenolone:NAD+ 3-oxidoreductase","Cortisol + H+ + NADH <=> 11beta,17alpha,21-Trihydroxypregnenolone + NAD+",C00735 + C00080 + C00004 <=> C05489 + C00003,C00735; C00080; C00004,C05489; C00003,"C00735; C00080; C00004 [C21H30O5 | Cortisol; Hydrocortisone; 11beta,17alpha,21-Trihydroxy-4-pregnene-3,20-dione; Kendall's compound F; Reichstein's substance M]","C05489; C00003 [C21H32O5 | 11beta,17alpha,21-Trihydroxypregnenolone]",TRUE,Cortisol,Reactant,Cortisol
1.1.1.145,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus_taiwanensis,Methanoculleus,Methanoculleus taiwanensis,Methanoculleus taiwanensis,R03327,17alpha-hydroxypregnenolone:NAD+ 3-oxidoreductase,17alpha-Hydroxypregnenolone + NAD+ <=> 17alpha-Hydroxyprogesterone + NADH + H+,C05138 + C00003 <=> C01176 + C00004 + C00080,C05138; C00003,C01176; C00004; C00080,"C05138; C00003 [C21H32O3 | 17alpha-Hydroxypregnenolone; 3-beta,17alpha-Dihydroxypregn-5-en-20-one]","C01176; C00004; C00080 [C21H30O3 | 17alpha-Hydroxyprogesterone; 17alpha-Hydroxy-4-pregnene-3,20-dione; Pregn-4-ene-3,20-dione-17-ol; 17alpha-Hydroxy-progesterone]",TRUE,17alpha-Hydroxypregnenolone; 17alpha-Hydroxyprogesterone,Reactant; Product,17alpha-Hydroxypregnenolone; 17alpha-Hydroxyprogesterone
1.1.1.145,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus_taiwanensis,Methanoculleus,Methanoculleus taiwanensis,Methanoculleus taiwanensis,R04163,21-hydroxypregnenolone:NAD+ 3-oxidoreductase,21-Hydroxypregnenolone + NAD+ <=> 11-Deoxycorticosterone + NADH + H+,C05485 + C00003 <=> C03205 + C00004 + C00080,C05485; C00003,C03205; C00004; C00080,"C05485; C00003 [C21H32O3 | 21-Hydroxypregnenolone; 3beta,21-Dihydroxypregn-5-en-20-one]","C03205; C00004; C00080 [C21H30O3 | 11-Deoxycorticosterone; Deoxycorticosterone; Cortexone; 21-Hydroxy-4-pregnene-3,20-dione; Desoxycortone; DOC]",TRUE,Desoxycortone,Product,Desoxycortone
1.1.1.159,k__Bacteria;p__Chloroflexi;c__Caldilineae;o__unclassified_Caldilineae;f__unclassified_Caldilineae;g__unclassified_Caldilineae;s__Caldilineae_bacterium,unclassified Caldilineae,Caldilineae bacterium,Caldilineae bacterium,R02792,"3alpha,7alpha,12alpha-trihydroxy-5beta-cholanate:NAD+ 7-oxidoreductase",Cholic acid + NAD+ <=> 7-Oxodeoxycholate + NADH + H+,C00695 + C00003 <=> C04643 + C00004 + C00080,C00695; C00003,C04643; C00004; C00080,"C00695; C00003 [C24H40O5 | Cholic acid; Cholate; 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholanate; 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholanic acid]","C04643; C00004; C00080 [C24H38O5 | 7-Oxodeoxycholate; 7-Ketocholate; 3alpha,12alpha-Dihydroxy-7-oxo-5beta-cholanoate; 3alpha,12alpha-Dihydroxy-7-oxo-5beta-cholan-24-oate]",TRUE,Cholic acid,Reactant,Cholic acid
